"Timestamp","Your Name","Class","Index Number","I am excited about the skills I learnt during CS","I feel confident in my technical skills","I know how to work through problems when I get stumped","Learning about technology is exciting","I wish I had more opportunities to learn technical skill","I would like to own a Microbit set for my own learning","I would consider using Microbit for my future school projects ","What was your favourite part of the course?","What was your least favourite part of the course?","What could be improved?","I am interested to sign up for Computer Elective Programme (Year 2 - Year 4)"
"43304.419396087964","Hidden","1H","Hidden","5.0","5.0","5.0","5.0","5.0","5.0","Yes","The project - coding was very enjoyable","the homework :)","nothing much I think it was well thought out","Yes"
"43304.419569375","Hidden","1G","Hidden","4.0","3.0","3.0","4.0","4.0","3.0","Maybe","The hands on activities","Nil","Nil","Maybe"
"43304.42007827546","Hidden","1H","Hidden","3.0","2.0","2.0","3.0","4.0","2.0","No","Hardware","The project","Nil","No"
"43304.420449745376","Hidden","1G","Hidden","4.0","2.0","3.0","3.0","3.0","3.0","Maybe","Programming the last assignment","Not understanding the blocks","Nothing much ","No"
"43304.4205022338","Hidden","1H","Hidden","4.0","2.0","3.0","5.0","5.0","3.0","Maybe","The lessons","The homework","Your mum","Maybe"
"43304.42050248843","Hidden","1H","Hidden","4.0","3.0","3.0","4.0","3.0","3.0","Maybe","Hardware","Loops"," Lessons should allow people not good in coding to understand.","No"
"43304.42085488426","Hidden","1G","Hidden","4.0","4.0","3.0","5.0","4.0","3.0","Maybe","Programming games and using the tinker kits","Learning ""arrays"" ","The lesson could be shorter","Yes, But I have Third Lang or other electives"
"43304.42106216435","Hidden","1H","Hidden","4.0","4.0","3.0","4.0","4.0","5.0","Yes","Learning about several coding parts in Microbit (arrays, loops), learning about things like algorithms","The frustration when my project doesn't work","More help for the project","Yes, But I have Third Lang or other electives"
"43304.42111402778","Hidden","1G","Hidden","5.0","5.0","3.0","5.0","5.0","3.0","Maybe","When I could present solutions which were practical and understandable ","None ","The course could be longer so students can immerse themselves better into the microbit concept, ","Yes"
"43304.421154780095","Hidden","1H","Hidden","5.0","5.0","5.0","5.0","5.0","3.0","No","solving the problems and doing the assignments at home. ","Sitting in class doing nothing really.","use scratch lol. ","Yes, But I have Third Lang or other electives"
"43304.42131697916","Hidden","1H","Hidden","4.0","2.0","3.0","5.0","4.0","3.0","Maybe","The lessons","The homework","More fun activities","Maybe"
"43304.42132756945","Hidden","1G","Hidden","4.0","3.0","2.0","5.0","4.0","2.0","No","Learning how to make games.","Arrays.","We could learn java script instead of using blocks.","Maybe"
"43304.42141702546","Hidden","1G","Hidden","4.0","3.0","4.0","4.0","4.0","2.0","Maybe","Working with the computers to programme games","NIL","NIL","Maybe"
"43304.421504791666","Hidden","1G","Hidden","5.0","4.0","3.0","5.0","5.0","5.0","Maybe","It was the project part because you can create any game you want.","Learning about Arrays.","Longer times for CS.","Yes, But I have Third Lang or other electives"
"43304.42184858797","Hidden","1G","Hidden","4.0","3.0","3.0","4.0","4.0","5.0","Maybe","Being able to see my end project","Memorising the difficult parts ","My skills","Yes, But I have Third Lang or other electives"
"43304.42241319444","Hidden","1H","Hidden","4.0","4.0","3.0","4.0","4.0","5.0","Yes","Learning how to make games","the homework was really hard","The homework could be made easier and more doable.","Maybe"
"43304.485966782406","Hidden","1c","Hidden","5.0","3.0","3.0","5.0","5.0","5.0","Maybe","Making my own game","Nil","Nil","Yes, But I have Third Lang or other electives"
"43304.48673553241","Hidden","1C","Hidden","2.0","1.0","2.0","3.0","2.0","1.0","No","The video","doing microbit","do something else related to CS","No"
"43304.48704421296","Hidden","1C","Hidden","5.0","3.0","2.0","5.0","4.0","3.0","Maybe","Logic","Arrays","Nil","Maybe"
"43304.48713195602","Hidden","1D","Hidden","4.0","4.0","4.0","5.0","4.0","3.0","Maybe","Exploring the set","The project","n.a.","Maybe"
"43304.48715722222","Hidden","1D","Hidden","4.0","3.0","4.0","4.0","4.0","3.0","Maybe","Making my own game","Learning about arrays","Make cs longer","Maybe"
"43304.48717712963","Hidden","1D","Hidden","5.0","4.0","5.0","5.0","2.0","4.0","Yes","Videos","nothing","More videos","Yes, But I have Third Lang or other electives"
"43304.48740819444","Hidden","1C","Hidden","5.0","5.0","5.0","5.0","5.0","5.0","Yes","Final project, multiplayer game with Putra","Dismissal :(","Amount of time with the physical micro:bit","Yes"
"43304.48751803241","Hidden","1C","Hidden","5.0","5.0","5.0","5.0","5.0","5.0","Yes","Playing with Microbit set","microbit is quite limited","Do moway & scratch","Yes, But I have Third Lang or other electives"
"43304.48753668982","Hidden","1D","Hidden","5.0","5.0","5.0","5.0","5.0","5.0","Yes","Everything","Nothing","Giving us our own Micro:Bit","Yes"
"43304.48766371528","Hidden","1D","Hidden","4.0","2.0","3.0","4.0","3.0","4.0","Maybe","Homework assignments where we are given a problem to be solved with the use of a microbit, which we must solve.","Nothing","Give us our own micorbit kits!!!! ;)","Maybe"
"43304.48777244213","Hidden","1c","Hidden","4.0","1.0","2.0","4.0","5.0","4.0","Maybe","we tried out many different use of microbits to solve out daily problems","nil","we can have more lessons","Maybe"
"43304.487993414354","Hidden","1C","Hidden","4.0","4.0","4.0","4.0","4.0","4.0","Maybe","programming games","The project at the end"," NIL","Maybe"
"43304.48820935185","Hidden","1C","Hidden","3.0","2.0","2.0","4.0","3.0","2.0","Maybe","learning to code games","na"," na","No"
"43304.488238958336","Hidden","1D","Hidden","4.0","3.0","3.0","5.0","5.0","5.0","Yes","Learning the different uses of the codes","When I couldn't understand how the code works and how to do the harder homework","Having more time to learn the codes in greater detail and maybe learn more about Javascript too.","Yes, But I have Third Lang or other electives"
"43304.488972453706","Hidden","1C","Hidden","5.0","5.0","5.0","5.0","5.0","5.0","Maybe","Doing multiplayer projects w/ Yu Chen","there wasnt enough time for CS","Add more time for CS! :)","Yes, But I have Third Lang or other electives"
"43304.4890427662","Hidden","1D","Hidden","5.0","4.0","4.0","5.0","5.0","4.0","Maybe","Learning about the use for different programming functions","Homework","The duration of the lesson","Maybe"
"43304.48933895833","Hidden","1C","Hidden","4.0","2.0","2.0","5.0","5.0","5.0","Yes","Learning about how to program using Javascript, although I did not learn much.","Not learning much","We could be taught more programming and more advanced programming","Yes"
"43304.489342326386","Hidden","1c","Hidden","5.0","1.0","1.0","5.0","5.0","5.0","Yes","The video on algorhithms","the part when i learnt about arrays.","Everything.","Yes"
"43304.6335144676","Hidden","1F","Hidden","5.0","4.0","4.0","5.0","4.0","5.0","Maybe","Using the microbit","Nil","Nil","Yes, But I have Third Lang or other electives"
"43304.63372875","Hidden","1F","Hidden","4.0","3.0","3.0","5.0","4.0","5.0","Yes","Using microbit.","Nothing","Nothing","Yes"
"43304.63373814815","Hidden","1E","Hidden","4.0","3.0","4.0","5.0","4.0","5.0","Maybe","Learning to code","Nothing","NOTHING :)","Maybe"
"43304.633816030095","Hidden","1F","Hidden","5.0","4.0","4.0","5.0","4.0","5.0","Maybe","Using the microbit","Nil","Nil","Yes, But I have Third Lang or other electives"
"43304.63399770833","Hidden","1F","Hidden","5.0","3.0","4.0","5.0","5.0","4.0","Yes","Coding programmes and games we want","The part where we had to do work","More lessons","Maybe"
"43304.63407712963","Hidden","1E","Hidden","3.0","2.0","2.0","4.0","4.0","3.0","Maybe","Microbit","Nil","It's good enough
","Maybe"
"43304.634117615744","Hidden","1E","Hidden","4.0","4.0","3.0","4.0","1.0","5.0","Maybe","Using microbit","None","Nothing","No"
"43304.6341197338","Hidden","1F","Hidden","4.0","3.0","4.0","5.0","5.0","3.0","Maybe","Using the actual microbit ","Learning The codes ","More time on practical applications of coding","No"
"43304.63438108796","Hidden","1E","Hidden","4.0","3.0","3.0","5.0","4.0","4.0","Maybe","The bonus marks","Not knowing how to solve a pooblrm","Having more time to do the project","Maybe"
"43304.6345547338","Hidden","Y1E","Hidden","4.0","4.0","4.0","5.0","3.0","3.0","Yes","The making of the project ","Nil ","More notes can be created to help students to better understand the course ","Maybe"
"43304.634569444446","Hidden","1F","Hidden","4.0","3.0","4.0","5.0","5.0","5.0","Maybe","Programming!","The complicated parts","NIL","No"
"43304.6346615625","Hidden","1E","Hidden","4.0","4.0","4.0","5.0","4.0","5.0","Yes","Using the physical Microbit","Learning difficult codes","Using more features","Maybe"
"43304.634910567125","Hidden","1F","Hidden","4.0","4.0","3.0","4.0","3.0","3.0","Maybe","I like the teacher","The problems of the codes i don't know how to solve","They could teach methods to solve problems","No"
"43304.63506260417","Hidden","1f","Hidden","5.0","4.0","4.0","5.0","5.0","5.0","Maybe","Coding","Nil","Nil","Yes, But I have Third Lang or other electives"
"43304.63516002314","Hidden","1F","Hidden","4.0","3.0","4.0","4.0","3.0","3.0","Maybe","Coding games","Reflections.","Nothing","Maybe"
"43304.636388125","Hidden","1E","Hidden","4.0","2.0","3.0","4.0","4.0","5.0","Yes","Microbit","None","None","No"
